region_bld,region_gea,R11,R12
C-EEU-BGR,EEU,EEU,EEU
C-EEU-CZE,EEU,EEU,EEU
C-EEU-EST,EEU,EEU,EEU
C-EEU-HUN,EEU,EEU,EEU
C-EEU-LTU,EEU,EEU,EEU
C-EEU-LVA,EEU,EEU,EEU
C-EEU-POL,EEU,EEU,EEU
C-EEU-ROU,EEU,EEU,EEU
C-EEU-SVK,EEU,EEU,EEU
C-EEU-SVN,EEU,EEU,EEU
C-WEU-AUT,WEU,WEU,WEU
C-WEU-BEL,WEU,WEU,WEU
C-WEU-CHE,WEU,WEU,WEU
C-WEU-CYP,WEU,WEU,WEU
C-WEU-DEU,WEU,WEU,WEU
C-WEU-DNK,WEU,WEU,WEU
C-WEU-ESP,WEU,WEU,WEU
C-WEU-FIN,WEU,WEU,WEU
C-WEU-FRA,WEU,WEU,WEU
C-WEU-GBR,WEU,WEU,WEU
C-WEU-GRC,WEU,WEU,WEU
C-WEU-HRV,WEU,WEU,WEU
C-WEU-IRL,WEU,WEU,WEU
C-WEU-ISL,WEU,WEU,WEU
C-WEU-ITA,WEU,WEU,WEU
C-WEU-LUX,WEU,WEU,WEU
C-WEU-MLT,WEU,WEU,WEU
C-WEU-NLD,WEU,WEU,WEU
C-WEU-NOR,WEU,WEU,WEU
C-WEU-PRT,WEU,WEU,WEU
C-WEU-SWE,WEU,WEU,WEU
R32ANUZ,PAO,PAO,PAO
R32BRA,LAC,LAM,LAM
R32CAN,NAM,NAM,NAM
R32CAS-CAU,FSU,FSU,FSU
R32CAS-OTH,FSU,FSU,FSU
R32CHN,CPA,CPA,CHN
R32EEU,EEU,EEU,EEU
R32EEU-FSU,FSU,FSU,FSU
R32IDN,PAS,PAS,PAS
R32IND,SAS,SAS,SAS
R32JPN,PAO,PAO,PAO
R32KOR,PAS,PAS,PAS
R32LAM-L,LAC,LAM,LAM
R32LAM-M,LAC,LAM,LAM
R32MEA-H,MEA,MEA,MEA
R32MEA-M,MEA,MEA,MEA
R32MEX,LAC,LAM,LAM
R32NAF,MEA,MEA,MEA
R32OAS-CPA,CPA,CPA,RCPA
R32OAS-L-PAS,PAS,PAS,PAS
R32OAS-L-SAS,SAS,SAS,SAS
R32OAS-M-PAS,PAS,PAS,PAS
R32OAS-M-SAS,SAS,SAS,SAS
R32PAK,SAS,SAS,SAS
R32RUS,FSU,FSU,FSU
R32SAF,AFR,AFR,AFR
R32SSA-L,AFR,AFR,AFR
R32SSA-M,AFR,AFR,AFR
R32TUR,WEU,WEU,WEU
R32USA,NAM,NAM,NAM