region_bld,mat,arch,bld_age,parameter,value
C-EEU-BGR,sub,inf,ns,scale,138.064911
C-EEU-CZE,sub,inf,ns,scale,135.2472598
C-EEU-EST,sub,inf,ns,scale,138.064911
C-EEU-HUN,sub,inf,ns,scale,140.8825622
C-EEU-LTU,sub,inf,ns,scale,138.064911
C-EEU-LVA,sub,inf,ns,scale,138.064911
C-EEU-POL,sub,inf,ns,scale,138.064911
C-EEU-ROU,sub,inf,ns,scale,138.064911
C-EEU-SVK,sub,inf,ns,scale,138.064911
C-EEU-SVN,sub,inf,ns,scale,135.2472598
C-WEU-AUT,sub,inf,ns,scale,112.0662629
C-WEU-BEL,sub,inf,ns,scale,132.7554192
C-WEU-CHE,sub,inf,ns,scale,132.7554192
C-WEU-CYP,sub,inf,ns,scale,140.0828287
C-WEU-DEU,sub,inf,ns,scale,140.0828287
C-WEU-DNK,sub,inf,ns,scale,134.4795155
C-WEU-ESP,sub,inf,ns,scale,132.7554192
C-WEU-FIN,sub,inf,ns,scale,132.7554192
C-WEU-FRA,sub,inf,ns,scale,140.0828287
C-WEU-GBR,sub,inf,ns,scale,196.1159601
C-WEU-GRC,sub,inf,ns,scale,137.2811721
C-WEU-IRL,sub,inf,ns,scale,132.7554192
C-WEU-ISL,sub,inf,ns,scale,132.7554192
C-WEU-ITA,sub,inf,ns,scale,132.7554192
C-WEU-LUX,sub,inf,ns,scale,132.7554192
C-WEU-MLT,sub,inf,ns,scale,132.7554192
C-WEU-NLD,sub,inf,ns,scale,134.4795155
C-WEU-NOR,sub,inf,ns,scale,140.0828287
C-WEU-PRT,sub,inf,ns,scale,132.7554192
C-WEU-SWE,sub,inf,ns,scale,100.8596366
C-EEU-BGR,perm,mfh,p1,scale,157.7884697
C-EEU-CZE,perm,mfh,p1,scale,157.7884697
C-EEU-EST,perm,mfh,p1,scale,157.7884697
C-EEU-HUN,perm,mfh,p1,scale,157.7884697
C-EEU-LTU,perm,mfh,p1,scale,157.7884697
C-EEU-LVA,perm,mfh,p1,scale,157.7884697
C-EEU-POL,perm,mfh,p1,scale,157.7884697
C-EEU-ROU,perm,mfh,p1,scale,157.7884697
C-EEU-SVK,perm,mfh,p1,scale,157.7884697
C-EEU-SVN,perm,mfh,p1,scale,157.7884697
C-WEU-AUT,perm,mfh,p1,scale,156.8927681
C-WEU-BEL,perm,mfh,p1,scale,156.8927681
C-WEU-CHE,perm,mfh,p1,scale,156.8927681
C-WEU-CYP,perm,mfh,p1,scale,156.8927681
C-WEU-DEU,perm,mfh,p1,scale,156.8927681
C-WEU-DNK,perm,mfh,p1,scale,156.8927681
C-WEU-ESP,perm,mfh,p1,scale,156.8927681
C-WEU-FIN,perm,mfh,p1,scale,156.8927681
C-WEU-FRA,perm,mfh,p1,scale,156.8927681
C-WEU-GBR,perm,mfh,p1,scale,156.8927681
C-WEU-GRC,perm,mfh,p1,scale,156.8927681
C-WEU-IRL,perm,mfh,p1,scale,156.8927681
C-WEU-ISL,perm,mfh,p1,scale,156.8927681
C-WEU-ITA,perm,mfh,p1,scale,156.8927681
C-WEU-LUX,perm,mfh,p1,scale,156.8927681
C-WEU-MLT,perm,mfh,p1,scale,156.8927681
C-WEU-NLD,perm,mfh,p1,scale,156.8927681
C-WEU-NOR,perm,mfh,p1,scale,156.8927681
C-WEU-PRT,perm,mfh,p1,scale,156.8927681
C-WEU-SWE,perm,mfh,p1,scale,156.8927681
C-EEU-BGR,perm,sfh,p1,scale,157.7884697
C-EEU-CZE,perm,sfh,p1,scale,157.7884697
C-EEU-EST,perm,sfh,p1,scale,157.7884697
C-EEU-HUN,perm,sfh,p1,scale,157.7884697
C-EEU-LTU,perm,sfh,p1,scale,157.7884697
C-EEU-LVA,perm,sfh,p1,scale,157.7884697
C-EEU-POL,perm,sfh,p1,scale,157.7884697
C-EEU-ROU,perm,sfh,p1,scale,157.7884697
C-EEU-SVK,perm,sfh,p1,scale,157.7884697
C-EEU-SVN,perm,sfh,p1,scale,157.7884697
C-WEU-AUT,perm,sfh,p1,scale,156.8927681
C-WEU-BEL,perm,sfh,p1,scale,156.8927681
C-WEU-CHE,perm,sfh,p1,scale,156.8927681
C-WEU-CYP,perm,sfh,p1,scale,156.8927681
C-WEU-DEU,perm,sfh,p1,scale,156.8927681
C-WEU-DNK,perm,sfh,p1,scale,156.8927681
C-WEU-ESP,perm,sfh,p1,scale,156.8927681
C-WEU-FIN,perm,sfh,p1,scale,156.8927681
C-WEU-FRA,perm,sfh,p1,scale,156.8927681
C-WEU-GBR,perm,sfh,p1,scale,156.8927681
C-WEU-GRC,perm,sfh,p1,scale,156.8927681
C-WEU-IRL,perm,sfh,p1,scale,156.8927681
C-WEU-ISL,perm,sfh,p1,scale,156.8927681
C-WEU-ITA,perm,sfh,p1,scale,156.8927681
C-WEU-LUX,perm,sfh,p1,scale,156.8927681
C-WEU-MLT,perm,sfh,p1,scale,156.8927681
C-WEU-NLD,perm,sfh,p1,scale,156.8927681
C-WEU-NOR,perm,sfh,p1,scale,156.8927681
C-WEU-PRT,perm,sfh,p1,scale,156.8927681
C-WEU-SWE,perm,sfh,p1,scale,156.8927681
C-EEU-BGR,perm,mfh,p2,scale,138.064911
C-EEU-CZE,perm,mfh,p2,scale,135.2472598
C-EEU-EST,perm,mfh,p2,scale,138.064911
C-EEU-HUN,perm,mfh,p2,scale,140.8825622
C-EEU-LTU,perm,mfh,p2,scale,138.064911
C-EEU-LVA,perm,mfh,p2,scale,138.064911
C-EEU-POL,perm,mfh,p2,scale,138.064911
C-EEU-ROU,perm,mfh,p2,scale,138.064911
C-EEU-SVK,perm,mfh,p2,scale,138.064911
C-EEU-SVN,perm,mfh,p2,scale,135.2472598
C-WEU-AUT,perm,mfh,p2,scale,112.0662629
C-WEU-BEL,perm,mfh,p2,scale,132.7554192
C-WEU-CHE,perm,mfh,p2,scale,132.7554192
C-WEU-CYP,perm,mfh,p2,scale,140.0828287
C-WEU-DEU,perm,mfh,p2,scale,140.0828287
C-WEU-DNK,perm,mfh,p2,scale,134.4795155
C-WEU-ESP,perm,mfh,p2,scale,132.7554192
C-WEU-FIN,perm,mfh,p2,scale,132.7554192
C-WEU-FRA,perm,mfh,p2,scale,140.0828287
C-WEU-GBR,perm,mfh,p2,scale,196.1159601
C-WEU-GRC,perm,mfh,p2,scale,137.2811721
C-WEU-IRL,perm,mfh,p2,scale,132.7554192
C-WEU-ISL,perm,mfh,p2,scale,132.7554192
C-WEU-ITA,perm,mfh,p2,scale,132.7554192
C-WEU-LUX,perm,mfh,p2,scale,132.7554192
C-WEU-MLT,perm,mfh,p2,scale,132.7554192
C-WEU-NLD,perm,mfh,p2,scale,134.4795155
C-WEU-NOR,perm,mfh,p2,scale,140.0828287
C-WEU-PRT,perm,mfh,p2,scale,132.7554192
C-WEU-SWE,perm,mfh,p2,scale,100.8596366
C-EEU-BGR,perm,sfh,p2,scale,138.064911
C-EEU-CZE,perm,sfh,p2,scale,135.2472598
C-EEU-EST,perm,sfh,p2,scale,138.064911
C-EEU-HUN,perm,sfh,p2,scale,140.8825622
C-EEU-LTU,perm,sfh,p2,scale,138.064911
C-EEU-LVA,perm,sfh,p2,scale,138.064911
C-EEU-POL,perm,sfh,p2,scale,138.064911
C-EEU-ROU,perm,sfh,p2,scale,138.064911
C-EEU-SVK,perm,sfh,p2,scale,138.064911
C-EEU-SVN,perm,sfh,p2,scale,135.2472598
C-WEU-AUT,perm,sfh,p2,scale,112.0662629
C-WEU-BEL,perm,sfh,p2,scale,132.7554192
C-WEU-CHE,perm,sfh,p2,scale,132.7554192
C-WEU-CYP,perm,sfh,p2,scale,140.0828287
C-WEU-DEU,perm,sfh,p2,scale,140.0828287
C-WEU-DNK,perm,sfh,p2,scale,134.4795155
C-WEU-ESP,perm,sfh,p2,scale,132.7554192
C-WEU-FIN,perm,sfh,p2,scale,132.7554192
C-WEU-FRA,perm,sfh,p2,scale,140.0828287
C-WEU-GBR,perm,sfh,p2,scale,196.1159601
C-WEU-GRC,perm,sfh,p2,scale,137.2811721
C-WEU-IRL,perm,sfh,p2,scale,132.7554192
C-WEU-ISL,perm,sfh,p2,scale,132.7554192
C-WEU-ITA,perm,sfh,p2,scale,132.7554192
C-WEU-LUX,perm,sfh,p2,scale,132.7554192
C-WEU-MLT,perm,sfh,p2,scale,132.7554192
C-WEU-NLD,perm,sfh,p2,scale,134.4795155
C-WEU-NOR,perm,sfh,p2,scale,140.0828287
C-WEU-PRT,perm,sfh,p2,scale,132.7554192
C-WEU-SWE,perm,sfh,p2,scale,100.8596366
C-EEU-BGR,perm,mfh,p3,scale,138.064911
C-EEU-CZE,perm,mfh,p3,scale,135.2472598
C-EEU-EST,perm,mfh,p3,scale,138.064911
C-EEU-HUN,perm,mfh,p3,scale,140.8825622
C-EEU-LTU,perm,mfh,p3,scale,138.064911
C-EEU-LVA,perm,mfh,p3,scale,138.064911
C-EEU-POL,perm,mfh,p3,scale,138.064911
C-EEU-ROU,perm,mfh,p3,scale,138.064911
C-EEU-SVK,perm,mfh,p3,scale,138.064911
C-EEU-SVN,perm,mfh,p3,scale,135.2472598
C-WEU-AUT,perm,mfh,p3,scale,112.0662629
C-WEU-BEL,perm,mfh,p3,scale,132.7554192
C-WEU-CHE,perm,mfh,p3,scale,132.7554192
C-WEU-CYP,perm,mfh,p3,scale,140.0828287
C-WEU-DEU,perm,mfh,p3,scale,140.0828287
C-WEU-DNK,perm,mfh,p3,scale,134.4795155
C-WEU-ESP,perm,mfh,p3,scale,132.7554192
C-WEU-FIN,perm,mfh,p3,scale,132.7554192
C-WEU-FRA,perm,mfh,p3,scale,140.0828287
C-WEU-GBR,perm,mfh,p3,scale,196.1159601
C-WEU-GRC,perm,mfh,p3,scale,137.2811721
C-WEU-IRL,perm,mfh,p3,scale,132.7554192
C-WEU-ISL,perm,mfh,p3,scale,132.7554192
C-WEU-ITA,perm,mfh,p3,scale,132.7554192
C-WEU-LUX,perm,mfh,p3,scale,132.7554192
C-WEU-MLT,perm,mfh,p3,scale,132.7554192
C-WEU-NLD,perm,mfh,p3,scale,134.4795155
C-WEU-NOR,perm,mfh,p3,scale,140.0828287
C-WEU-PRT,perm,mfh,p3,scale,132.7554192
C-WEU-SWE,perm,mfh,p3,scale,100.8596366
C-EEU-BGR,perm,sfh,p3,scale,138.064911
C-EEU-CZE,perm,sfh,p3,scale,135.2472598
C-EEU-EST,perm,sfh,p3,scale,138.064911
C-EEU-HUN,perm,sfh,p3,scale,140.8825622
C-EEU-LTU,perm,sfh,p3,scale,138.064911
C-EEU-LVA,perm,sfh,p3,scale,138.064911
C-EEU-POL,perm,sfh,p3,scale,138.064911
C-EEU-ROU,perm,sfh,p3,scale,138.064911
C-EEU-SVK,perm,sfh,p3,scale,138.064911
C-EEU-SVN,perm,sfh,p3,scale,135.2472598
C-WEU-AUT,perm,sfh,p3,scale,112.0662629
C-WEU-BEL,perm,sfh,p3,scale,132.7554192
C-WEU-CHE,perm,sfh,p3,scale,132.7554192
C-WEU-CYP,perm,sfh,p3,scale,140.0828287
C-WEU-DEU,perm,sfh,p3,scale,140.0828287
C-WEU-DNK,perm,sfh,p3,scale,134.4795155
C-WEU-ESP,perm,sfh,p3,scale,132.7554192
C-WEU-FIN,perm,sfh,p3,scale,132.7554192
C-WEU-FRA,perm,sfh,p3,scale,140.0828287
C-WEU-GBR,perm,sfh,p3,scale,196.1159601
C-WEU-GRC,perm,sfh,p3,scale,137.2811721
C-WEU-IRL,perm,sfh,p3,scale,132.7554192
C-WEU-ISL,perm,sfh,p3,scale,132.7554192
C-WEU-ITA,perm,sfh,p3,scale,132.7554192
C-WEU-LUX,perm,sfh,p3,scale,132.7554192
C-WEU-MLT,perm,sfh,p3,scale,132.7554192
C-WEU-NLD,perm,sfh,p3,scale,134.4795155
C-WEU-NOR,perm,sfh,p3,scale,140.0828287
C-WEU-PRT,perm,sfh,p3,scale,132.7554192
C-WEU-SWE,perm,sfh,p3,scale,100.8596366
C-EEU-BGR,perm,mfh,p5,scale,138.064911
C-EEU-CZE,perm,mfh,p5,scale,135.2472598
C-EEU-EST,perm,mfh,p5,scale,138.064911
C-EEU-HUN,perm,mfh,p5,scale,140.8825622
C-EEU-LTU,perm,mfh,p5,scale,138.064911
C-EEU-LVA,perm,mfh,p5,scale,138.064911
C-EEU-POL,perm,mfh,p5,scale,138.064911
C-EEU-ROU,perm,mfh,p5,scale,138.064911
C-EEU-SVK,perm,mfh,p5,scale,138.064911
C-EEU-SVN,perm,mfh,p5,scale,135.2472598
C-WEU-AUT,perm,mfh,p5,scale,112.0662629
C-WEU-BEL,perm,mfh,p5,scale,132.7554192
C-WEU-CHE,perm,mfh,p5,scale,132.7554192
C-WEU-CYP,perm,mfh,p5,scale,140.0828287
C-WEU-DEU,perm,mfh,p5,scale,140.0828287
C-WEU-DNK,perm,mfh,p5,scale,134.4795155
C-WEU-ESP,perm,mfh,p5,scale,132.7554192
C-WEU-FIN,perm,mfh,p5,scale,132.7554192
C-WEU-FRA,perm,mfh,p5,scale,140.0828287
C-WEU-GBR,perm,mfh,p5,scale,196.1159601
C-WEU-GRC,perm,mfh,p5,scale,137.2811721
C-WEU-IRL,perm,mfh,p5,scale,132.7554192
C-WEU-ISL,perm,mfh,p5,scale,132.7554192
C-WEU-ITA,perm,mfh,p5,scale,132.7554192
C-WEU-LUX,perm,mfh,p5,scale,132.7554192
C-WEU-MLT,perm,mfh,p5,scale,132.7554192
C-WEU-NLD,perm,mfh,p5,scale,134.4795155
C-WEU-NOR,perm,mfh,p5,scale,140.0828287
C-WEU-PRT,perm,mfh,p5,scale,132.7554192
C-WEU-SWE,perm,mfh,p5,scale,100.8596366
C-EEU-BGR,perm,sfh,p5,scale,138.064911
C-EEU-CZE,perm,sfh,p5,scale,135.2472598
C-EEU-EST,perm,sfh,p5,scale,138.064911
C-EEU-HUN,perm,sfh,p5,scale,140.8825622
C-EEU-LTU,perm,sfh,p5,scale,138.064911
