inc_cl,region_bld,value
q1,C-EEU-BGR,0.16
q1,C-EEU-CZE,0.09
q1,C-EEU-EST,0.07
q1,C-EEU-HUN,0.07
q1,C-EEU-LTU,0.09
q1,C-EEU-LVA,0.07
q1,C-EEU-POL,0.09
q1,C-EEU-ROU,0.16
q1,C-EEU-SVK,0.07
q1,C-EEU-SVN,0.09
q1,C-WEU-AUT,0.07
q1,C-WEU-BEL,0.07
q1,C-WEU-CYP,0.1
q1,C-WEU-DEU,0.07
q1,C-WEU-DNK,0.07
q1,C-WEU-ESP,0.09
q1,C-WEU-FIN,0.07
q1,C-WEU-FRA,0.07
q1,C-WEU-GBR,0.07
q1,C-WEU-GRC,0.07
q1,C-WEU-IRL,0.07
q1,C-WEU-ITA,0.09
q1,C-WEU-MLT,0.07
q1,C-WEU-NLD,0.07
q1,C-WEU-PRT,0.07
q1,C-WEU-SWE,0.07
q1,C-WEU-LUX,0.07
q2,C-EEU-BGR,0.08
q2,C-EEU-CZE,0.04
q2,C-EEU-EST,0.04
q2,C-EEU-HUN,0.04
q2,C-EEU-LTU,0.04
q2,C-EEU-LVA,0.04
q2,C-EEU-POL,0.04
q2,C-EEU-ROU,0.08
q2,C-EEU-SVK,0.04
q2,C-EEU-SVN,0.04
q2,C-WEU-AUT,0.04
q2,C-WEU-BEL,0.04
q2,C-WEU-CYP,0.05
q2,C-WEU-DEU,0.04
q2,C-WEU-DNK,0.04
q2,C-WEU-ESP,0.05
q2,C-WEU-FIN,0.04
q2,C-WEU-FRA,0.04
q2,C-WEU-GBR,0.04
q2,C-WEU-GRC,0.04
q2,C-WEU-IRL,0.04
q2,C-WEU-ITA,0.05
q2,C-WEU-MLT,0.04
q2,C-WEU-NLD,0.04
q2,C-WEU-PRT,0.04
q2,C-WEU-SWE,0.04
q2,C-WEU-LUX,0.04
q3,C-EEU-BGR,0.08
q3,C-EEU-CZE,0.04
q3,C-EEU-EST,0.04
q3,C-EEU-HUN,0.04
q3,C-EEU-LTU,0.04
q3,C-EEU-LVA,0.04
q3,C-EEU-POL,0.04
q3,C-EEU-ROU,0.08
q3,C-EEU-SVK,0.04
q3,C-EEU-SVN,0.04
q3,C-WEU-AUT,0.04
q3,C-WEU-BEL,0.04
q3,C-WEU-CYP,0.05
q3,C-WEU-DEU,0.04
q3,C-WEU-DNK,0.04
q3,C-WEU-ESP,0.05
q3,C-WEU-FIN,0.04
q3,C-WEU-FRA,0.04
q3,C-WEU-GBR,0.04
q3,C-WEU-GRC,0.04
q3,C-WEU-IRL,0.04
q3,C-WEU-ITA,0.05
q3,C-WEU-MLT,0.04
q3,C-WEU-NLD,0.04
q3,C-WEU-PRT,0.04
q3,C-WEU-SWE,0.04
q3,C-WEU-LUX,0.04
q1,C-WEU-HRV,0.16
q2,C-WEU-HRV,0.08
q3,C-WEU-HRV,0.08