region_bld,mat,eneff,value
C-EEU-BGR,perm,std,0.928571429
C-EEU-BGR,perm,adv,0.071428571
C-EEU-CZE,perm,std,0.941176471
C-EEU-CZE,perm,adv,0.058823529
C-EEU-EST,perm,std,0.875
C-EEU-EST,perm,adv,0.125
C-EEU-HUN,perm,std,0.9
C-EEU-HUN,perm,adv,0.1
C-EEU-LTU,perm,std,0.777777778
C-EEU-LTU,perm,adv,0.222222222
C-EEU-LVA,perm,std,0.99
C-EEU-LVA,perm,adv,0.01
C-EEU-POL,perm,std,0.99
C-EEU-POL,perm,adv,0.01
C-EEU-ROU,perm,std,0.928571429
C-EEU-ROU,perm,adv,0.071428571
C-EEU-SVK,perm,std,0.909090909
C-EEU-SVK,perm,adv,0.090909091
C-EEU-SVN,perm,std,0.928571429
C-EEU-SVN,perm,adv,0.071428571
C-WEU-AUT,perm,std,0.894736842
C-WEU-AUT,perm,adv,0.105263158
C-WEU-BEL,perm,std,0.833333333
C-WEU-BEL,perm,adv,0.166666667
C-WEU-CHE,perm,std,0.894669083
C-WEU-CHE,perm,adv,0.105330917
C-WEU-CYP,perm,std,0.833333333
C-WEU-CYP,perm,adv,0.166666667
C-WEU-DEU,perm,std,0.9
C-WEU-DEU,perm,adv,0.1
C-WEU-DNK,perm,std,0.99
C-WEU-DNK,perm,adv,0.01
C-WEU-ESP,perm,std,0.85
C-WEU-ESP,perm,adv,0.15
C-WEU-FIN,perm,std,0.99
C-WEU-FIN,perm,adv,0.01
C-WEU-FRA,perm,std,0.833333333
C-WEU-FRA,perm,adv,0.166666667
C-WEU-GBR,perm,std,0.916666667
C-WEU-GBR,perm,adv,0.083333333
C-WEU-GRC,perm,std,0.846153846
C-WEU-GRC,perm,adv,0.153846154
C-WEU-IRL,perm,std,0.857142857
C-WEU-IRL,perm,adv,0.142857143
C-WEU-ISL,perm,std,0.894669083
C-WEU-ISL,perm,adv,0.105330917
C-WEU-ITA,perm,std,0.833333333
C-WEU-ITA,perm,adv,0.166666667
C-WEU-LUX,perm,std,0.8
C-WEU-LUX,perm,adv,0.2
C-WEU-MLT,perm,std,0.857142857
C-WEU-MLT,perm,adv,0.142857143
C-WEU-NLD,perm,std,0.888888889
C-WEU-NLD,perm,adv,0.111111111
C-WEU-NOR,perm,std,0.894669083
C-WEU-NOR,perm,adv,0.105330917
C-WEU-PRT,perm,std,0.928571429
C-WEU-PRT,perm,adv,0.071428571
C-WEU-SWE,perm,std,0.875
C-WEU-SWE,perm,adv,0.125
C-WEU-HRV,perm,std,0.9375
C-WEU-HRV,perm,adv,0.0625