region_gea,eneff,year,value
EEU,std,2020,1
EEU,std,2025,1
EEU,std,2030,1
EEU,std,2035,1
EEU,std,2040,1
EEU,std,2045,1
EEU,std,2050,1
EEU,std,2055,1
EEU,std,2060,1
EEU,std,2065,1
EEU,std,2070,1
EEU,std,2075,1
EEU,std,2080,1
EEU,std,2085,1
EEU,std,2090,1
EEU,std,2095,1
EEU,std,2100,1
EEU,adv,2020,0
EEU,adv,2025,0
EEU,adv,2030,0
EEU,adv,2035,0
EEU,adv,2040,0
EEU,adv,2045,0
EEU,adv,2050,0
EEU,adv,2055,0
EEU,adv,2060,0
EEU,adv,2065,0
EEU,adv,2070,0
EEU,adv,2075,0
EEU,adv,2080,0
EEU,adv,2085,0
EEU,adv,2090,0
EEU,adv,2095,0
EEU,adv,2100,0
WEU,std,2020,1
WEU,std,2025,1
WEU,std,2030,1
WEU,std,2035,1
WEU,std,2040,1
WEU,std,2045,1
WEU,std,2050,1
WEU,std,2055,1
WEU,std,2060,1
WEU,std,2065,1
WEU,std,2070,1
WEU,std,2075,1
WEU,std,2080,1
WEU,std,2085,1
WEU,std,2090,1
WEU,std,2095,1
WEU,std,2100,1
WEU,adv,2020,0
WEU,adv,2025,0
WEU,adv,2030,0
WEU,adv,2035,0
WEU,adv,2040,0
WEU,adv,2045,0
WEU,adv,2050,0
WEU,adv,2055,0
WEU,adv,2060,0
WEU,adv,2065,0
WEU,adv,2070,0
WEU,adv,2075,0
WEU,adv,2080,0
WEU,adv,2085,0
WEU,adv,2090,0
WEU,adv,2095,0
WEU,adv,2100,0