region_bld,mat,eneff_f,value,barrier_rent,barrier_mfh,scaling_factor
C-EEU-BGR,perm,adv,-4.840933501,0.223838345,0.439799776,0.05165562
C-EEU-BGR,perm,std,-2.173953397,0.223838345,0.439799776,0.05165562
C-EEU-CZE,perm,adv,-4.895597981,0.170886626,0.242964289,0.05165562
C-EEU-CZE,perm,std,-1.962345011,0.170886626,0.242964289,0.05165562
C-EEU-EST,perm,adv,-4.965998377,0.260621983,0,0.05165562
C-EEU-EST,perm,std,-2.981565834,0.260621983,0,0.05165562
C-EEU-HUN,perm,adv,-4.578079678,0.310321514,0.646338774,0.05165562
C-EEU-HUN,perm,std,-2.323932194,0.310321514,0.646338774,0.05165562
C-EEU-LTU,perm,adv,-4.276749256,0.18360478,0,0.05165562
C-EEU-LTU,perm,std,-2.966486839,0.18360478,0,0.05165562
C-EEU-LVA,perm,adv,-6.94041971,0.639045325,0,0.05165562
C-EEU-LVA,perm,std,-2.834974843,0.639045325,0,0.05165562
C-EEU-POL,perm,adv,-6.601022978,0.357830749,0.498992275,0.05165562
C-EEU-POL,perm,std,-2.005754662,0.357830749,0.498992275,0.05165562
C-EEU-ROU,perm,adv,-4.937612549,1.818397117,0.555200213,0.05165562
C-EEU-ROU,perm,std,-2.212359952,1.818397117,0.555200213,0.05165562
C-EEU-SVK,perm,adv,-4.89923153,0.41240409,0.5346046,0.05165562
C-EEU-SVK,perm,std,-2.387093661,0.41240409,0.5346046,0.05165562
C-EEU-SVN,perm,adv,-4.854630427,0,0.472209171,0.05165562
C-EEU-SVN,perm,std,-2.145820358,0,0.472209171,0.05165562
C-WEU-AUT,perm,adv,-3.243908233,1.12173135,0,0.05165562
C-WEU-AUT,perm,std,-0.955385044,1.12173135,0,0.05165562
C-WEU-BEL,perm,adv,-3.201005736,0.492440911,0.826070283,0.05165562
C-WEU-BEL,perm,std,-1.930469767,0.492440911,0.826070283,0.05165562
C-WEU-CYP,perm,adv,-2.841642808,0.309272097,0.880754145,0.05165562
C-WEU-CYP,perm,std,-1.127741308,0.309272097,0.880754145,0.05165562
C-WEU-DEU,perm,adv,-3.755998017,1.084753148,0,0.05165562
C-WEU-DEU,perm,std,-1.428953357,1.084753148,0,0.05165562
C-WEU-DNK,perm,adv,-6.290643458,1.162451104,0,0.05165562
C-WEU-DNK,perm,std,-1.502419554,1.162451104,0,0.05165562
C-WEU-ESP,perm,adv,-4.313120796,0,0,0.05165562
C-WEU-ESP,perm,std,-2.434889614,0,0,0.05165562
C-WEU-FIN,perm,adv,-6.730023984,0.97664044,0,0.05165562
C-WEU-FIN,perm,std,-2.034638954,0.97664044,0,0.05165562
C-WEU-FRA,perm,adv,-2.709329921,0.833248066,0.888616336,0.05165562
C-WEU-FRA,perm,std,-1.529100307,0.833248066,0.888616336,0.05165562
C-WEU-GBR,perm,adv,-4.078703366,0.742887515,0,0.05165562
C-WEU-GBR,perm,std,-2.111755698,0.742887515,0,0.05165562
C-WEU-GRC,perm,adv,-3.892888763,0.730519065,0.484600557,0.05165562
C-WEU-GRC,perm,std,-2.025593549,0.730519065,0.484600557,0.05165562
C-WEU-IRL,perm,adv,-3.612102418,0.986231707,0,0.05165562
C-WEU-IRL,perm,std,-1.803127225,0.986231707,0,0.05165562
C-WEU-ITA,perm,adv,-3.375159311,0.122103325,0,0.05165562
C-WEU-ITA,perm,std,-2.025742217,0.122103325,0,0.05165562
C-WEU-LUX,perm,adv,-2.345635293,0.897048159,1.208819465,0.05165562
C-WEU-LUX,perm,std,-1.807635325,0.897048159,1.208819465,0.05165562
C-WEU-MLT,perm,adv,-4.536909803,0,0,0.05165562
C-WEU-MLT,perm,std,-2.649898321,0,0,0.05165562
C-WEU-NLD,perm,adv,-3.941232094,0.400980456,0.459210551,0.05165562
C-WEU-NLD,perm,std,-2.012555033,0.400980456,0.459210551,0.05165562
C-WEU-PRT,perm,adv,-4.889452706,0.421598206,0,0.05165562
C-WEU-PRT,perm,std,-2.45994511,0.421598206,0,0.05165562
C-WEU-SWE,perm,adv,-3.253695588,1.479210348,0,0.05165562
C-WEU-SWE,perm,std,-1.186439778,1.479210348,0,0.05165562