region_bld,fuel,year,value
C-EEU-BGR,electricity,2015,0.0942
C-EEU-CZE,electricity,2015,0.1385
C-EEU-EST,electricity,2015,0.1302
C-EEU-HUN,electricity,2015,0.1127
C-EEU-LTU,electricity,2015,0.1256
C-EEU-LVA,electricity,2015,0.1635
C-EEU-POL,electricity,2015,0.1444
C-EEU-ROU,electricity,2015,0.1303
C-EEU-SVK,electricity,2015,0.1506
C-EEU-SVN,electricity,2015,0.1589
C-WEU-AUT,electricity,2015,0.2009
C-WEU-BEL,electricity,2015,0.2126
C-WEU-CHE,electricity,2015,0.181515385
C-WEU-CYP,electricity,2015,0.1957
C-WEU-DEU,electricity,2015,0.2951
C-WEU-DNK,electricity,2015,0.3068
C-WEU-ESP,electricity,2015,0.2309
C-WEU-FIN,electricity,2015,0.1552
C-WEU-FRA,electricity,2015,0.1676
C-WEU-GBR,electricity,2015,0.2125
C-WEU-GRC,electricity,2015,0.1767
C-WEU-IRL,electricity,2015,0.2426
C-WEU-ISL,electricity,2015,0.181515385
C-WEU-ITA,electricity,2015,0.245
C-WEU-LUX,electricity,2015,0.1767
C-WEU-MLT,electricity,2015,0.1257
C-WEU-NLD,electricity,2015,0.1986
C-WEU-NOR,electricity,2015,0.181515385
C-WEU-PRT,electricity,2015,0.2279
C-WEU-SWE,electricity,2015,0.1872
C-EEU-BGR,gas,2015,0.047724982
C-EEU-CZE,gas,2015,0.057412887
C-EEU-EST,gas,2015,0.045608351
C-EEU-HUN,gas,2015,0.035287617
C-EEU-LTU,gas,2015,0.042296616
C-EEU-LVA,gas,2015,0.049568035
C-EEU-POL,gas,2015,0.050060115
C-EEU-ROU,gas,2015,0.031142189
C-EEU-SVK,gas,2015,0.049604032
C-EEU-SVN,gas,2015,0.062922966
C-WEU-AUT,gas,2015,0.07300216
C-WEU-BEL,gas,2015,0.058423326
C-WEU-CHE,gas,2015,0.061225045
C-WEU-CYP,gas,2015,0.062580216
C-WEU-DEU,gas,2015,0.067602592
C-WEU-DNK,gas,2015,0.09200288
C-WEU-ESP,gas,2015,0.073146148
C-WEU-FIN,gas,2015,0.062580216
C-WEU-FRA,gas,2015,0.070050396
C-WEU-GBR,gas,2015,0.063517999
C-WEU-GRC,gas,2015,0.068106551
C-WEU-IRL,gas,2015,0.067314615
C-WEU-ISL,gas,2015,0.061225045
C-WEU-ITA,gas,2015,0.076565875
C-WEU-LUX,gas,2015,0.049568035
C-WEU-MLT,gas,2015,0.062580216
C-WEU-NLD,gas,2015,0.075593952
C-WEU-NOR,gas,2015,0.061225045
C-WEU-PRT,gas,2015,0.097588193
C-WEU-SWE,gas,2015,0.113143269
C-EEU-BGR,oil,2015,0.076
C-EEU-CZE,oil,2015,0.083
C-EEU-EST,oil,2015,0.095
C-EEU-HUN,oil,2015,0.123
C-EEU-LTU,oil,2015,0.066
C-EEU-LVA,oil,2015,0.088
C-EEU-POL,oil,2015,0.093
C-EEU-ROU,oil,2015,0.101
C-EEU-SVK,oil,2015,0.101
C-EEU-SVN,oil,2015,0.101
C-WEU-AUT,oil,2015,0.088
C-WEU-BEL,oil,2015,0.078
C-WEU-CHE,oil,2015,0.096769231
C-WEU-CYP,oil,2015,0.093
C-WEU-DEU,oil,2015,0.075
C-WEU-DNK,oil,2015,0.147
C-WEU-ESP,oil,2015,0.083
C-WEU-FIN,oil,2015,0.101
C-WEU-FRA,oil,2015,0.087
C-WEU-GBR,oil,2015,0.076
C-WEU-GRC,oil,2015,0.119
C-WEU-IRL,oil,2015,0.098
C-WEU-ISL,oil,2015,0.096769231
C-WEU-ITA,oil,2015,0.144
C-WEU-LUX,oil,2015,0.072
C-WEU-MLT,oil,2015,0.098
C-WEU-NLD,oil,2015,0.105
C-WEU-NOR,oil,2015,0.096769231
C-WEU-PRT,oil,2015,0.125
C-WEU-SWE,oil,2015,0.149
C-EEU-BGR,district_heat,2015,0.041
C-EEU-CZE,district_heat,2015,0.081
C-EEU-EST,district_heat,2015,0.046
C-EEU-HUN,district_heat,2015,0.045
C-EEU-LTU,district_heat,2015,0.077
C-EEU-LVA,district_heat,2015,0.06
C-EEU-POL,district_heat,2015,0.054
C-EEU-ROU,district_heat,2015,0.075
C-EEU-SVK,district_heat,2015,0.099
C-EEU-SVN,district_heat,2015,0.072
C-WEU-AUT,district_heat,2015,0.082
C-WEU-BEL,district_heat,2015,0.082
C-WEU-CHE,district_heat,2015,0.073794872
C-WEU-CYP,district_heat,2015,0.073809524
C-WEU-DEU,district_heat,2015,0.091
C-WEU-DNK,district_heat,2015,0.13
C-WEU-ESP,district_heat,2015,0.073809524
C-WEU-FIN,district_heat,2015,0.073
C-WEU-FRA,district_heat,2015,0.071
C-WEU-GBR,district_heat,2015,0.055
C-WEU-GRC,district_heat,2015,0.073809524
C-WEU-IRL,district_heat,2015,0.073809524
C-WEU-ISL,district_heat,2015,0.073794872
C-WEU-ITA,district_heat,2015,0.083
C-WEU-LUX,district_heat,2015,0.073809524
C-WEU-MLT,district_heat,2015,0.073809524
C-WEU-NLD,district_heat,2015,0.085
C-WEU-NOR,district_heat,2015,0.073794872
C-WEU-PRT,district_heat,2015,0.073809524
C-WEU-SWE,district_heat,2015,0.091
C-EEU-BGR,biomass_solid,2015,0.046
C-EEU-CZE,biomass_solid,2015,0.046
C-EEU-EST,biomass_solid,2015,0.046
C-EEU-HUN,biomass_solid,2015,0.046
C-EEU-LTU,biomass_solid,2015,0.046
C-EEU-LVA,biomass_solid,2015,0.046
C-EEU-POL,biomass_solid,2015,0.046
C-EEU-ROU,biomass_solid,2015,0.046
C-EEU-SVK,biomass_solid,2015,0.046
C-EEU-SVN,biomass_solid,2015,0.046
C-WEU-AUT,biomass_solid,2015,0.046
C-WEU-BEL,biomass_solid,2015,0.046
C-WEU-CHE,biomass_solid,2015,0.046
C-WEU-CYP,biomass_solid,2015,0.046
C-WEU-DEU,biomass_solid,2015,0.046
C-WEU-DNK,biomass_solid,2015,0.046
C-WEU-ESP,biomass_solid,2015,0.046
C-WEU-FIN,biomass_solid,2015,0.046
C-WEU-FRA,biomass_solid,2015,0.046
C-WEU-GBR,biomass_solid,2015,0.046
C-WEU-GRC,biomass_solid,2015,0.046
C-WEU-IRL,biomass_solid,2015,0.046
C-WEU-ISL,biomass_solid,2015,0.046
C-WEU-ITA,biomass_solid,2015,0.046
C-WEU-LUX,biomass_solid,2015,0.046
C-WEU-MLT,biomass_solid,2015,0.046
C-WEU-NLD,biomass_solid,2015,0.046
C-WEU-NOR,biomass_solid,2015,0.046
C-WEU-PRT,biomass_solid,2015,0.046
C-WEU-SWE,biomass_solid,2015,0.046
C-EEU-BGR,coal,2015,0.022
C-EEU-CZE,coal,2015,0.022
C-EEU-EST,coal,2015,0.022
C-EEU-HUN,coal,2015,0.022
C-EEU-LTU,coal,2015,0.022
C-EEU-LVA,coal,2015,0.022
C-EEU-POL,coal,2015,0.022
C-EEU-ROU,coal,2015,0.022
C-EEU-SVK,coal,2015,0.022
C-EEU-SVN,coal,2015,0.022
C-WEU-AUT,coal,2015,0.022
C-WEU-BEL,coal,2015,0.022
C-WEU-CHE,coal,2015,0.022
C-WEU-CYP,coal,2015,0.022
C-WEU-DEU,coal,2015,0.022
C-WEU-DNK,coal,2015,0.022
C-WEU-ESP,coal,2015,0.022
C-WEU-FIN,coal,2015,0.022
C-WEU-FRA,coal,2015,0.022
C-WEU-GBR,coal,2015,0.022
C-WEU-GRC,coal,2015,0.022
C-WEU-IRL,coal,2015,0.022
C-WEU-ISL,coal,2015,0.022
C-WEU-ITA,coal,2015,0.022
C-WEU-LUX,coal,2015,0.022
C-WEU-MLT,coal,2015,0.022
C-WEU-NLD,coal,2015,0.022
C-WEU-NOR,coal,2015,0.022
C-WEU-PRT,coal,2015,0.022
C-WEU-SWE,coal,2015,0.022
C-WEU-HRV,electricity,2015,0.1317
C-WEU-HRV,gas,2015,0.04725162
C-WEU-HRV,oil,2015,0.075
C-WEU-HRV,district_heat,2015,0.057
C-WEU-HRV,biomass_solid,2015,0.046
C-WEU-HRV,coal,2015,0.022