region_bld,inc_cl,tenr,value
C-WEU-BEL,q1,own,0.377
C-EEU-BGR,q1,own,0.784
C-WEU-DNK,q1,own,0.293
C-WEU-DEU,q1,own,0.245
C-EEU-EST,q1,own,0.69
C-WEU-IRL,q1,own,0.467
C-WEU-GRC,q1,own,0.677
C-WEU-ESP,q1,own,0.62
C-WEU-FRA,q1,own,0.355
C-WEU-ITA,q1,own,0.524
C-WEU-CYP,q1,own,0.493
C-EEU-LVA,q1,own,0.705
C-EEU-LTU,q1,own,0.819
C-WEU-LUX,q1,own,0.408
C-EEU-HUN,q1,own,0.771
C-WEU-MLT,q1,own,0.673
C-WEU-NLD,q1,own,0.367
C-WEU-AUT,q1,own,0.243
C-EEU-POL,q1,own,0.766
C-WEU-PRT,q1,own,0.597
C-EEU-ROU,q1,own,0.948
C-EEU-SVN,q1,own,0.579
C-EEU-SVK,q1,own,0.821
C-WEU-FIN,q1,own,0.42
C-WEU-SWE,q1,own,0.293
C-WEU-GBR,q1,own,0.434
C-WEU-BEL,q1,rent,0.623
C-EEU-BGR,q1,rent,0.216
C-WEU-DNK,q1,rent,0.707
C-WEU-DEU,q1,rent,0.755
C-EEU-EST,q1,rent,0.31
C-WEU-IRL,q1,rent,0.533
C-WEU-GRC,q1,rent,0.323
C-WEU-ESP,q1,rent,0.38
C-WEU-FRA,q1,rent,0.645
C-WEU-ITA,q1,rent,0.476
C-WEU-CYP,q1,rent,0.507
C-EEU-LVA,q1,rent,0.295
C-EEU-LTU,q1,rent,0.181
C-WEU-LUX,q1,rent,0.592
C-EEU-HUN,q1,rent,0.229
C-WEU-MLT,q1,rent,0.327
C-WEU-NLD,q1,rent,0.633
C-WEU-AUT,q1,rent,0.757
C-EEU-POL,q1,rent,0.234
C-WEU-PRT,q1,rent,0.403
C-EEU-ROU,q1,rent,0.052
C-EEU-SVN,q1,rent,0.421
C-EEU-SVK,q1,rent,0.179
C-WEU-FIN,q1,rent,0.58
C-WEU-SWE,q1,rent,0.707
C-WEU-GBR,q1,rent,0.566
C-WEU-BEL,q2,own,0.773
C-EEU-BGR,q2,own,0.834
C-WEU-DNK,q2,own,0.673
C-WEU-DEU,q2,own,0.573
C-EEU-EST,q2,own,0.85
C-WEU-IRL,q2,own,0.739
C-WEU-GRC,q2,own,0.771
C-WEU-ESP,q2,own,0.828
C-WEU-FRA,q2,own,0.685
C-WEU-ITA,q2,own,0.78
C-WEU-CYP,q2,own,0.776
C-EEU-LVA,q2,own,0.83
C-EEU-LTU,q2,own,0.915
C-WEU-LUX,q2,own,0.791
C-EEU-HUN,q2,own,0.879
C-WEU-MLT,q2,own,0.83
C-WEU-NLD,q2,own,0.721
C-WEU-AUT,q2,own,0.608
C-EEU-POL,q2,own,0.852
C-WEU-PRT,q2,own,0.785
C-EEU-ROU,q2,own,0.97
C-EEU-SVN,q2,own,0.793
C-EEU-SVK,q2,own,0.903
C-WEU-FIN,q2,own,0.77
C-WEU-SWE,q2,own,0.734
C-WEU-GBR,q2,own,0.676
C-WEU-BEL,q2,rent,0.227
C-EEU-BGR,q2,rent,0.166
C-WEU-DNK,q2,rent,0.327
C-WEU-DEU,q2,rent,0.427
C-EEU-EST,q2,rent,0.15
C-WEU-IRL,q2,rent,0.261
C-WEU-GRC,q2,rent,0.229
C-WEU-ESP,q2,rent,0.172
C-WEU-FRA,q2,rent,0.315
C-WEU-ITA,q2,rent,0.22
C-WEU-CYP,q2,rent,0.224
C-EEU-LVA,q2,rent,0.17
C-EEU-LTU,q2,rent,0.085
C-WEU-LUX,q2,rent,0.209
C-EEU-HUN,q2,rent,0.121
C-WEU-MLT,q2,rent,0.17
C-WEU-NLD,q2,rent,0.279
C-WEU-AUT,q2,rent,0.392
C-EEU-POL,q2,rent,0.148
C-WEU-PRT,q2,rent,0.215
C-EEU-ROU,q2,rent,0.03
C-EEU-SVN,q2,rent,0.207
C-EEU-SVK,q2,rent,0.097
C-WEU-FIN,q2,rent,0.23
C-WEU-SWE,q2,rent,0.266
C-WEU-GBR,q2,rent,0.324
C-WEU-BEL,q3,own,0.773
C-EEU-BGR,q3,own,0.834
C-WEU-DNK,q3,own,0.673
C-WEU-DEU,q3,own,0.573
C-EEU-EST,q3,own,0.85
C-WEU-IRL,q3,own,0.739
C-WEU-GRC,q3,own,0.771
C-WEU-ESP,q3,own,0.828
C-WEU-FRA,q3,own,0.685
C-WEU-ITA,q3,own,0.78
C-WEU-CYP,q3,own,0.776
C-EEU-LVA,q3,own,0.83
C-EEU-LTU,q3,own,0.915
C-WEU-LUX,q3,own,0.791
C-EEU-HUN,q3,own,0.879
C-WEU-MLT,q3,own,0.83
C-WEU-NLD,q3,own,0.721
C-WEU-AUT,q3,own,0.608
C-EEU-POL,q3,own,0.852
C-WEU-PRT,q3,own,0.785
C-EEU-ROU,q3,own,0.97
C-EEU-SVN,q3,own,0.793
C-EEU-SVK,q3,own,0.903
C-WEU-FIN,q3,own,0.77
C-WEU-SWE,q3,own,0.734
C-WEU-GBR,q3,own,0.676
C-WEU-BEL,q3,rent,0.227
C-EEU-BGR,q3,rent,0.166
C-WEU-DNK,q3,rent,0.327
C-WEU-DEU,q3,rent,0.427
C-EEU-EST,q3,rent,0.15
C-WEU-IRL,q3,rent,0.261
C-WEU-GRC,q3,rent,0.229
C-WEU-ESP,q3,rent,0.172
C-WEU-FRA,q3,rent,0.315
C-WEU-ITA,q3,rent,0.22
C-WEU-CYP,q3,rent,0.224
C-EEU-LVA,q3,rent,0.17
C-EEU-LTU,q3,rent,0.085
C-WEU-LUX,q3,rent,0.209
C-EEU-HUN,q3,rent,0.121
C-WEU-MLT,q3,rent,0.17
C-WEU-NLD,q3,rent,0.279
C-WEU-AUT,q3,rent,0.392
C-EEU-POL,q3,rent,0.148
C-WEU-PRT,q3,rent,0.215
C-EEU-ROU,q3,rent,0.03
C-EEU-SVN,q3,rent,0.207
C-EEU-SVK,q3,rent,0.097
C-WEU-FIN,q3,rent,0.23
C-WEU-SWE,q3,rent,0.266
C-WEU-GBR,q3,rent,0.324
C-EEU-CZE,q1,own,0.516
C-EEU-CZE,q2,own,0.809
C-EEU-CZE,q3,own,0.809
C-EEU-CZE,q1,rent,0.484
C-EEU-CZE,q2,rent,0.191
C-EEU-CZE,q3,rent,0.191
C-WEU-HRV,q1,own,0.88
C-WEU-HRV,q2,own,0.909
C-WEU-HRV,q3,own,0.909
C-WEU-HRV,q1,rent,0.12
C-WEU-HRV,q2,rent,0.091
C-WEU-HRV,q3,rent,0.091