REGION_GEA,RegNum,arch,rural,urban
AFR,1,new,0,1
CPA,2,new,2,3
EEU,3,new,4,5
FSU,4,new,6,7
LAC,5,new,8,9
MEA,6,new,10,11
NAM,7,new,12,13
PAO,8,new,14,15
PAS,9,new,16,17
SAS,10,new,18,19
WEU,11,new,20,21
AFR,1,exist,22,23
CPA,2,exist,24,25
EEU,3,exist,26,27
FSU,4,exist,28,29
LAC,5,exist,30,31
MEA,6,exist,32,33
NAM,7,exist,34,35
PAO,8,exist,36,37
PAS,9,exist,38,39
SAS,10,exist,40,41
WEU,11,exist,42,43
AFR,1,low,44,45
CPA,2,low,46,47
EEU,3,low,48,49
FSU,4,low,50,51
LAC,5,low,52,53
MEA,6,low,54,55
NAM,7,low,56,57
PAO,8,low,58,59
PAS,9,low,60,61
SAS,10,low,62,63
WEU,11,low,64,65